state,country,confirmed,deaths,date,month,year,population,confirmed_1d,confirmed_moving_avg_7d,confirmed_moving_avg_7d_rate_14d,confirmed_trend,deaths_1d,deaths_moving_avg_7d,deaths_moving_avg_7d_rate_14d,deaths_trend
Acre,Brazil,41689,796,2021-01-01,2021-01,2021,881935.0,,,,,,,,
Acre,Brazil,41941,798,2021-01-02,2021-01,2021,881935.0,252.0,,,,2.0,,,
Acre,Brazil,42046,802,2021-01-03,2021-01,2021,881935.0,105.0,,,,4.0,,,
Acre,Brazil,42117,806,2021-01-04,2021-01,2021,881935.0,71.0,,,,4.0,,,
Acre,Brazil,42170,808,2021-01-05,2021-01,2021,881935.0,53.0,,,,2.0,,,
Acre,Brazil,42378,814,2021-01-06,2021-01,2021,881935.0,208.0,,,,6.0,,,
Acre,Brazil,42478,821,2021-01-07,2021-01,2021,881935.0,100.0,,,,7.0,,,
Acre,Brazil,42814,823,2021-01-08,2021-01,2021,881935.0,336.0,161.0,,,2.0,4.0,,
Acre,Brazil,42908,823,2021-01-09,2021-01,2021,881935.0,94.0,139.0,,,0.0,4.0,,
Acre,Brazil,43127,825,2021-01-10,2021-01,2021,881935.0,219.0,155.0,,,2.0,4.0,,
Acre,Brazil,43346,826,2021-01-11,2021-01,2021,881935.0,219.0,176.0,,,1.0,3.0,,
Acre,Brazil,43432,827,2021-01-12,2021-01,2021,881935.0,86.0,181.0,,,1.0,3.0,,
Acre,Brazil,43785,829,2021-01-13,2021-01,2021,881935.0,353.0,201.0,,,2.0,3.0,,
Acre,Brazil,44068,832,2021-01-14,2021-01,2021,881935.0,283.0,228.0,,,3.0,2.0,,
Acre,Brazil,44156,835,2021-01-15,2021-01,2021,881935.0,88.0,192.0,,,3.0,2.0,,
Acre,Brazil,44621,835,2021-01-16,2021-01,2021,881935.0,465.0,245.0,,,0.0,2.0,,
Acre,Brazil,44767,836,2021-01-17,2021-01,2021,881935.0,146.0,235.0,,,1.0,2.0,,
Acre,Brazil,44775,837,2021-01-18,2021-01,2021,881935.0,8.0,205.0,,,1.0,2.0,,
Acre,Brazil,45208,839,2021-01-19,2021-01,2021,881935.0,433.0,254.0,,,2.0,2.0,,
Acre,Brazil,45429,840,2021-01-20,2021-01,2021,881935.0,221.0,235.0,,,1.0,2.0,,
Acre,Brazil,45729,844,2021-01-21,2021-01,2021,881935.0,300.0,238.0,,,4.0,2.0,,
Acre,Brazil,45987,846,2021-01-22,2021-01,2021,881935.0,258.0,262.0,1.6273291925465838,upward,2.0,2.0,0.5,downward
Acre,Brazil,46239,848,2021-01-23,2021-01,2021,881935.0,252.0,232.0,1.669064748201439,upward,2.0,2.0,0.5,downward
Acre,Brazil,46429,850,2021-01-24,2021-01,2021,881935.0,190.0,238.0,1.5354838709677419,upward,2.0,2.0,0.5,downward
Acre,Brazil,46539,854,2021-01-25,2021-01,2021,881935.0,110.0,252.0,1.4318181818181819,upward,4.0,3.0,1.0,stable
Acre,Brazil,46774,856,2021-01-26,2021-01,2021,881935.0,235.0,224.0,1.2375690607734806,upward,2.0,3.0,1.0,stable
Acre,Brazil,47119,858,2021-01-27,2021-01,2021,881935.0,345.0,242.0,1.2039800995024876,upward,2.0,3.0,1.0,stable
Acre,Brazil,47461,860,2021-01-28,2021-01,2021,881935.0,342.0,248.0,1.087719298245614,stable,2.0,3.0,1.5,upward
Acre,Brazil,47936,861,2021-01-29,2021-01,2021,881935.0,475.0,279.0,1.453125,upward,1.0,3.0,1.5,upward
Acre,Brazil,48347,864,2021-01-30,2021-01,2021,881935.0,411.0,302.0,1.2326530612244897,upward,3.0,3.0,1.5,upward
Acre,Brazil,48467,867,2021-01-31,2021-01,2021,881935.0,120.0,292.0,1.2425531914893617,upward,3.0,3.0,1.5,upward
Acre,Brazil,48820,873,2021-02-01,2021-02,2021,881935.0,353.0,326.0,1.5902439024390245,upward,6.0,3.0,1.5,upward
Acre,Brazil,49049,876,2021-02-02,2021-02,2021,881935.0,229.0,325.0,1.279527559055118,upward,3.0,3.0,1.5,upward
Acre,Brazil,49547,879,2021-02-03,2021-02,2021,881935.0,498.0,347.0,1.476595744680851,upward,3.0,3.0,1.5,upward
Acre,Brazil,49944,882,2021-02-04,2021-02,2021,881935.0,397.0,355.0,1.4915966386554622,upward,3.0,4.0,2.0,upward
Acre,Brazil,50122,884,2021-02-05,2021-02,2021,881935.0,178.0,313.0,1.1946564885496183,upward,2.0,4.0,2.0,upward
Acre,Brazil,50454,886,2021-02-06,2021-02,2021,887777.0,332.0,301.0,1.2974137931034482,upward,2.0,4.0,2.0,upward
Acre,Brazil,50546,888,2021-02-07,2021-02,2021,881935.0,92.0,297.0,1.2478991596638656,upward,2.0,3.0,1.5,upward
Acre,Brazil,50694,893,2021-02-08,2021-02,2021,884517.0,148.0,268.0,1.0634920634920635,stable,5.0,3.0,1.0,stable
Acre,Brazil,51269,900,2021-02-09,2021-02,2021,881935.0,575.0,318.0,1.4196428571428572,upward,7.0,4.0,1.3333333333333333,upward
Acre,Brazil,51679,902,2021-02-10,2021-02,2021,881935.0,410.0,305.0,1.2603305785123966,upward,2.0,4.0,1.3333333333333333,upward
Acre,Brazil,52172,907,2021-02-11,2021-02,2021,881935.0,493.0,319.0,1.2862903225806452,upward,5.0,4.0,1.3333333333333333,upward
Acre,Brazil,52548,910,2021-02-12,2021-02,2021,881935.0,376.0,347.0,1.2437275985663083,upward,3.0,4.0,1.3333333333333333,upward
Acre,Brazil,52920,917,2021-02-13,2021-02,2021,881935.0,372.0,353.0,1.1688741721854305,upward,7.0,5.0,1.6666666666666667,upward
Acre,Brazil,53027,921,2021-02-14,2021-02,2021,881935.0,107.0,355.0,1.2157534246575343,upward,4.0,5.0,1.6666666666666667,upward
Acre,Brazil,53455,931,2021-02-15,2021-02,2021,881935.0,428.0,395.0,1.2116564417177915,upward,10.0,6.0,2.0,upward
Acre,Brazil,53590,932,2021-02-16,2021-02,2021,881935.0,135.0,332.0,1.0215384615384615,stable,1.0,5.0,1.6666666666666667,upward
Acre,Brazil,53892,940,2021-02-17,2021-02,2021,881935.0,302.0,317.0,0.9135446685878963,stable,8.0,6.0,2.0,upward
Acre,Brazil,54130,948,2021-02-18,2021-02,2021,881935.0,238.0,280.0,0.7887323943661971,stable,8.0,6.0,1.5,upward
Acre,Brazil,54562,951,2021-02-19,2021-02,2021,881935.0,432.0,288.0,0.9201277955271565,stable,3.0,6.0,1.5,upward
Acre,Brazil,54743,957,2021-02-20,2021-02,2021,881935.0,181.0,261.0,0.867109634551495,stable,6.0,6.0,1.5,upward
Acre,Brazil,54786,963,2021-02-21,2021-02,2021,881935.0,43.0,252.0,0.8484848484848485,stable,6.0,6.0,2.0,upward
Acre,Brazil,54969,968,2021-02-22,2021-02,2021,881935.0,183.0,217.0,0.8097014925373134,stable,5.0,6.0,2.0,upward
Acre,Brazil,55591,974,2021-02-23,2021-02,2021,881935.0,622.0,286.0,0.89937106918239,stable,6.0,6.0,1.5,upward
Acre,Brazil,55881,975,2021-02-24,2021-02,2021,881935.0,290.0,285.0,0.9344262295081968,stable,1.0,5.0,1.25,upward
